term;description;casesensitive;translatable;forbidden;tags;en-US;en-US_description;th-TH;th-TH_description
About;;no;yes;no;;About;;เกี่ยวกับ;
About my team;;no;yes;no;;About my team;;เกี่ยวกับทีมของฉัน;
Absence;;no;yes;no;;Absence;;การขาดงาน;
Accept;;no;yes;no;;Accept;;ยอมรับ;
Accepted;;no;yes;no;;Accepted;;ยอมรับแล้ว;
Account;;no;yes;no;;Account;;บัญชี;
Achievement;;no;yes;no;;Achievement;;ความสำเร็จ;
Achievement summary;;no;yes;no;;Achievement summary;;สรุปผลงาน;
Action;;no;yes;no;;Action;;การดำเนินการ;
Action required;;no;yes;no;;Action required;;ต้องดำเนินการ;
Actions;;no;yes;no;;Actions;;การดำเนินการ;
Actions required;;no;yes;no;;Actions required;;ต้องดำเนินการ;
Activate;;no;yes;no;;Activate;;เปิดการใช้งาน;
Active;;no;yes;no;;Active;;ใช้งานอยู่;
Active users;;no;yes;no;;Active users;;ผู้ใช้งานที่ใช้งานอยู่;
Actor;;no;yes;no;;Actor;;ผู้ปฏิบัติงาน;
Add;;no;yes;no;;Add;;เพิ่ม;
Add all;;no;yes;no;;Add all;;เพิ่มทั้งหมด;
Add all company;;no;yes;no;;Add all company;;เพิ่มบริษัททั้งหมด;
Add all organizational units;;no;yes;no;;Add all organizational units;;เพิ่มหน่วยงานทั้งหมด;
Add condition;;no;yes;no;;Add condition;;เพิ่มเงื่อนไข;
Add feedback note;;no;yes;no;;Add feedback note;;ร่างฟีดแบค;
Add field;;no;yes;no;;Add field;;เพิ่มฟิลด์;
Add mapping;;no;yes;no;;Add mapping;;เพิ่มการแม็ป;
Add note;;no;yes;no;;Add note;;เพิ่มหมายเหตุ;
Add question;;no;yes;no;;Add question;;เพิ่มคำถาม;
Add skills;;no;yes;no;;Add skills;;เพิ่มทักษะ;
Add step;;no;yes;no;;Add step;;เพิ่มขั้นตอน;
Addition;;no;yes;no;;Addition;;ส่วนเพิ่ม;
Additional Managers;;no;yes;no;;Additional Managers;;หัวหน้างานเพิ่มเติม;
Additional goal description;;no;yes;no;;Additional goal description;;คำอธิบายเป้าหมายเพิ่มเติม;
Additional information;;no;yes;no;;Additional information;;ข้อมูลเพิ่มเติม;
Additional manager;;no;yes;no;;Additional manager;;ผู้จัดการเพิ่มเติม;
Additional managers;;no;yes;no;;Additional managers;;หัวหน้างานเพิ่มเติม;
Additional review;;no;yes;no;;Additional review;;การประเมินผลงานเพิ่มเติม;
Administration;;no;yes;no;;Administration;;การบริหารจัดการ;
Advanced;;no;yes;no;;Advanced;;ขั้นสูง;
After;;no;yes;no;;After;;หลังจาก;
Agenda;;no;yes;no;;Agenda;;กำหนดการ;
Alert;;no;yes;no;;Alert;;การแจ้งเตือน;
Alerts;;no;yes;no;;Alerts;;การแจ้งเตือน;
Aligned with goal;;no;yes;no;;Aligned with goal;;สอดคล้องกับเป้าหมาย;
Alignment;;no;yes;no;;Alignment;;การปรับให้สอดคล้องกัน;
All company;;no;yes;no;;All company;;บริษัททั้งหมด;
All criteria;;no;yes;no;;All criteria;;เกณฑ์ทั้งหมด;
All locations;;no;yes;no;;All locations;;ที่ตั้งทั้งหมด;
All organizational units;;no;yes;no;;All organizational units;;หน่วยงานขององค์กรทั้งหมด;
All participants;;no;yes;no;;All participants;;ผู้เข้าร่วมทุกคน;
All results;;no;yes;no;;All results;;ผลลัพธ์ทั้งหมด;
All roles;;no;yes;no;;All roles;;บทบาททั้งหมด;
All updates;;no;yes;no;;All updates;;การอัปเดตทั้งหมด;
Analyses;;no;yes;no;;Analyses;;การวิเคราะห์;
Analysis;;no;yes;no;;Analysis;;การวิเคราะห์;
Analytics;;no;yes;no;;Analytics;;การวิเคราะห์;
Anonymization;;no;yes;no;;Anonymization;;การไม่ระบุตัวตน;
Answer type;;no;yes;no;;Answer type;;ประเภทคำตอบ;
Anyone;;no;yes;no;;Anyone;;บุคคลใดก็ได้;
Anyone in the company;;no;yes;no;;Anyone in the company;;บุคคลใดก็ได้ในบริษัท;
Appearance;;no;yes;no;;Appearance;;ลักษณะภายนอก;
Apply;;no;yes;no;;Apply;;นำมาใช้;
Apply filters;;no;yes;no;;Apply filters;;ใช้ตัวกรอง;
Approve;;no;yes;no;;Approve;;อนุมัติ;
Approved;;no;yes;no;;Approved;;อนุมัติแล้ว;
Archived;;no;yes;no;;Archived;;เก็บถาวร;
Assign;;no;yes;no;;Assign;;กำหนด;
Assign to;;no;yes;no;;Assign to;;มอบหมายให้;
Assigned;;no;yes;no;;Assigned;;มอบหมายแล้ว;
Assigned reviews;;no;yes;no;;Assigned reviews;;การตรวจสอบที่ได้รับมอบหมาย;
Assigned to;;no;yes;no;;Assigned to;;มอบหมายให้;
Assignment;;no;yes;no;;Assignment;;งานที่มอบหมาย;
Assignment permissions;;no;yes;no;;Assignment permissions;;สิทธิ์การอนุญาตการมอบหมาย;
At least one number;;no;yes;no;;At least one number;;อย่างน้อยหนึ่งหมายเลข;
At risk;;no;yes;no;;At risk;;มีความเสี่ยง;
Attached document;;no;yes;no;;Attached document;;เอกสารที่แนบมา;
Attachments;;no;yes;no;;Attachments;;สิ่งที่แนบมา;
Audit;;no;yes;no;;Audit;;การประเมินผลงาน;
Audit trail;;no;yes;no;;Audit trail;;เส้นทางการตรวจสอบ;
Auto-suggestion;;no;yes;no;;Auto-suggestion;;คำแนะนำอัตโนมัติ;
Available;;no;yes;no;;Available;;พร้อมใช้งาน;
Average score;;no;yes;no;;Average score;;คะแนนเฉลี่ย;
Average total score;;no;yes;no;;Average total score;;คะแนนรวมเฉลี่ย;
Avg. word count;;no;yes;no;;Avg. word count;;จำนวนคำเฉลี่ย;
Back;;no;yes;no;;Back;;กลับ;
Basic Information;;no;yes;no;;Basic Information;;ข้อมูลพื้นฐาน;
Basic information;;no;yes;no;;Basic information;;ข้อมูลพื้นฐาน;
Before;;no;yes;no;;Before;;ก่อน;
Behavior;;no;yes;no;;Behavior;;พฤติกรรม;
Behavior libraries;;no;yes;no;;Behavior libraries;;ไลบรารีพฤติกรรม;
Behavior library;;no;yes;no;;Behavior library;;คลังพฤติกรรม;
Behavior profile;;no;yes;no;;Behavior profile;;โปรไฟล์พฤติกรรม;
Behavior wheel;;no;yes;no;;Behavior wheel;;วงล้อพฤติกรรม;
Behaviors;;no;yes;no;;Behaviors;;พฤติกรรม;
Behaviors sent;;no;yes;no;;Behaviors sent;;พฤติกรรมที่ส่งแล้ว;
Benchmarking;;no;yes;no;;Benchmarking;;การเปรียบเทียบมาตรฐาน;
Blank values;;no;yes;no;;Blank values;;ค่าว่าง;
Blocked;;no;yes;no;;Blocked;;ถูกบล็อค;
Bonus;;no;yes;no;;Bonus;;โบนัส;
Bonus Plans;;no;yes;no;;Bonus Plans;;แผนโบนัส;
Bonus amount;;no;yes;no;;Bonus amount;;จำนวนโบนัส;
Bonus calculation equation;;no;yes;no;;Bonus calculation equation;;สมการคำนวณโบนัส;
Bonus calculation formula;;no;yes;no;;Bonus calculation formula;;สูตรการคำนวณโบนัส;
Bonus plan;;no;yes;no;;Bonus plan;;แผนโบนัส;
Bonus plans;;no;yes;no;;Bonus plans;;แผนโบนัส;
Boolean;;no;yes;no;;Boolean;;บูลีน;
Budget;;no;yes;no;;Budget;;งบประมาณ;
Budget rule;;no;yes;no;;Budget rule;;กฎงบประมาณ;
Builder;;no;yes;no;;Builder;;ตัวสร้าง;
Business;;no;yes;no;;Business;;ธุรกิจ;
Calculated;;no;yes;no;;Calculated;;คำนวณแล้ว;
Calculated bonus;;no;yes;no;;Calculated bonus;;โบนัสที่คำนวณแล้ว;
Calculated column;;no;yes;no;;Calculated column;;คอลัมน์ที่คำนวณแล้ว;
Calculation workspace;;no;yes;no;;Calculation workspace;;พื้นที่ทำงานการคำนวณ;
Calibration;;no;yes;no;;Calibration;;การสอบเทียบ;
Can edit;;no;yes;no;;Can edit;;สามารถแก้ไขได้;
Cancel;;no;yes;no;;Cancel;;ยกเลิก;
Canceled;;no;yes;no;;Canceled;;ยกเลิกแล้ว;
Career Development;;no;yes;no;;Career Development;;การพัฒนาอาชีพ;
Career Development Plans;;no;yes;no;;Career Development Plans;;แผนพัฒนาอาชีพ;
Career Development Settings;;no;yes;no;;Career Development Settings;;การตั้งค่าการพัฒนาอาชีพ;
Career development;;no;yes;no;;Career development;;แผนพัฒนาความก้าวหน้าในสายอาชีพ;
Career development plan;;no;yes;no;;Career development plan;;แผนพัฒนาสายอาชีพ;
Career development plans;;no;yes;no;;Career development plans;;แผนพัฒนาความก้าวหน้าในสายอาชีพ;
Career development settings;;no;yes;no;;Career development settings;;การตั้งค่าความก้าวหน้าในสายอาชีพ;
Career plan questionnaire;;no;yes;no;;Career plan questionnaire;;แบบสอบถามแผนอาชีพ;
Career plans;;no;yes;no;;Career plans;;แผนอาชีพ;
Categories;;no;yes;no;;Categories;;หมวดหมู่;
Category;;no;yes;no;;Category;;หมวดหมู่;
Challenge process;;no;yes;no;;Challenge process;;กระบวนการคัดค้าน;
Challenge review;;no;yes;no;;Challenge review;;คัดค้านการประเมินผลงาน;
Challenged;;no;yes;no;;Challenged;;คัดค้านแล้ว;
Change;;no;yes;no;;Change;;เปลี่ยน;
Change workflow step;;no;yes;no;;Change workflow step;;เปลี่ยนแปลงขั้นตอนเวิร์กโฟลว์;
Chat;;no;yes;no;;Chat;;แชต;
Check-Ins;;no;yes;no;;Check-Ins;;การเช็คอิน;
Check-in;;no;yes;no;;Check-in;;การเช็คอิน;
Check-in Details;;no;yes;no;;Check-in Details;;รายละเอียดการเช็กอิน;
Check-in Status;;no;yes;no;;Check-in Status;;สถานะการเช็กอิน;
Check-in date;;no;yes;no;;Check-in date;;วันที่เช็คอิน;
Check-in with;;no;yes;no;;Check-in with;;เช็คอินด้วย;
Check-ins;;no;yes;no;;Check-ins;;การเช็คอิน;
Check-ins created;;no;yes;no;;Check-ins created;;สร้างการเช็คอินแล้ว;
Choose one;;no;yes;no;;Choose one;;เลือกหนึ่งรายการ;
City;;no;yes;no;;City;;เมือง;
Clear;;no;yes;no;;Clear;;ล้าง;
Clear all;;no;yes;no;;Clear all;;ล้างทั้งหมด;
Clear all filters;;no;yes;no;;Clear all filters;;ล้างตัวกรองทั้งหมด;
Clear all filters & search;;no;yes;no;;Clear all filters & search;;ล้างตัวกรองและการค้นหาทั้งหมด;
Clear all filters and search;;no;yes;no;;Clear all filters and search;;ล้างตัวกรองทั้งหมดและค้นหา;
Clear filters;;no;yes;no;;Clear filters;;ล้างตัวกรอง;
Clear search;;no;yes;no;;Clear search;;ล้างการค้นหา;
Close;;no;yes;no;;Close;;ปิด;
Closed;;no;yes;no;;Closed;;ปิดแล้ว;
Closed without document;;no;yes;no;;Closed without document;;ปิดโดยไม่มีเอกสาร;
Code;;no;yes;no;;Code;;รหัส;
Collaborative;;no;yes;no;;Collaborative;;ร่วมมือ;
Collapse;;no;yes;no;;Collapse;;ไม่แสดง;
Color;;no;yes;no;;Color;;สี;
Column name;;no;yes;no;;Column name;;ชื่อคอลัมน์;
Columns;;no;yes;no;;Columns;;คอลัมน์;
Coming soon;;no;yes;no;;Coming soon;;เร็วๆ นี้;
Comm manager;;no;yes;no;;Comm manager;;ผู้จัดการฝ่ายสื่อสาร;
Comm round;;no;yes;no;;Comm round;;รอบการสื่อสาร;
Comment;;no;yes;no;;Comment;;ความคิดเห็น;
Comments;;no;yes;no;;Comments;;ความคิดเห็น;
Communication;;no;yes;no;;Communication;;การสื่อสาร;
Communication Rounds;;no;yes;no;;Communication Rounds;;รอบการสื่อสาร;
Communication manager;;no;yes;no;;Communication manager;;หัวหน้างานฝ่ายการสื่อสาร;
Communication manager name;;no;yes;no;;Communication manager name;;ชื่อหัวหน้างานฝ่ายการสื่อสาร;
Communication round;;no;yes;no;;Communication round;;รอบการสื่อสาร;
Communication rounds;;no;yes;no;;Communication rounds;;รอบการสื่อสาร;
Comp Rounds;;no;yes;no;;Comp Rounds;;รอบค่าตอบแทน;
Comp element;;no;yes;no;;Comp element;;องค์ประกอบผลตอบแทน;
Comp elements;;no;yes;no;;Comp elements;;องค์ประกอบผลตอบแทน;
Comp manager;;no;yes;no;;Comp manager;;ผู้จัดการค่าตอบแทน;
Comp managers;;no;yes;no;;Comp managers;;ผู้จัดการฝ่ายค่าตอบแทน;
Comp round;;no;yes;no;;Comp round;;รอบการจ่ายผลตอบแทน;
Comp round currency;;no;yes;no;;Comp round currency;;สกุลเงินสำหรับรอบการชดเชย;
Comp rounds;;no;yes;no;;Comp rounds;;รอบการจ่ายผลตอบแทน;
Comp tree;;no;yes;no;;Comp tree;;แผนภูมิผลตอบแทน;
Company;;no;yes;no;;Company;;บริษัท;
Company logo;;no;yes;no;;Company logo;;โลโก้บริษัท;
Company name;;no;yes;no;;Company name;;ชื่อบริษัท;
Compare;;no;yes;no;;Compare;;เปรียบเทียบ;
Compensation;;no;yes;no;;Compensation;;ผลตอบแทน;
Compensation Element;;no;yes;no;;Compensation Element;;องค์ประกอบผลตอบแทน;
Compensation History;;no;yes;no;;Compensation History;;ประวัติการจ่ายผลตอบแทน;
Compensation Management;;no;yes;no;;Compensation Management;;การจัดการค่าตอบแทน;
Compensation Rounds;;no;yes;no;;Compensation Rounds;;รอบการจ่ายผลตอบแทน;
Compensation element;;no;yes;no;;Compensation element;;องค์ประกอบผลตอบแทน;
Compensation elements;;no;yes;no;;Compensation elements;;องค์ประกอบค่าตอบแทน;
Compensation field;;no;yes;no;;Compensation field;;ฟิลด์ค่าตอบแทน;
Compensation framework;;no;yes;no;;Compensation framework;;กรอบงานผลตอบแทน;
Compensation history;;no;yes;no;;Compensation history;;ประวัติการจ่ายผลตอบแทน;
Compensation manager;;no;yes;no;;Compensation manager;;หัวหน้างานฝ่ายผลตอบแทน;
Compensation philosophy;;no;yes;no;;Compensation philosophy;;ปรัชญาการให้ค่าตอบแทน;
Compensation rounds;;no;yes;no;;Compensation rounds;;รอบการชดเชย;
Competency Scales;;no;yes;no;;Competency Scales;;มาตราวัดความสามารถ;
Competency scale;;no;yes;no;;Competency scale;;ระดับความสามารถ;
Complete;;no;yes;no;;Complete;;เสร็จสิ้น;
Completed;;no;yes;no;;Completed;;เสร็จสมบูรณ์;
Completion;;no;yes;no;;Completion;;เสร็จสมบูรณ์;
Completion rate;;no;yes;no;;Completion rate;;อัตราการเสร็จสมบูรณ์;
Concatenated fields;;no;yes;no;;Concatenated fields;;ฟิลด์แบบต่อเนื่องกัน;
Conditional;;no;yes;no;;Conditional;;มีเงื่อนไข;
Conditional formatting;;no;yes;no;;Conditional formatting;;การจัดรูปแบบตามเงื่อนไข;
Config;;no;yes;no;;Config;;การกำหนดค่า;
Configuration;;no;yes;no;;Configuration;;การกำหนดค่า;
Confirm;;no;yes;no;;Confirm;;ยืนยัน;
Confirm deletion;;no;yes;no;;Confirm deletion;;ยืนยันการลบ;
Confirmation;;no;yes;no;;Confirmation;;การยืนยัน;
Connection name;;no;yes;no;;Connection name;;ชื่อการเชื่อมต่อ;
Constructive;;no;yes;no;;Constructive;;สร้างสรรค์;
Contains;;no;yes;no;;Contains;;ประกอบด้วย;
Continue;;no;yes;no;;Continue;;ดำเนินการต่อ;
Continue editing;;no;yes;no;;Continue editing;;ดำเนินการแก้ไขต่อ;
Contract type;;no;yes;no;;Contract type;;ประเภทสัญญา;
Conversation & publication;;no;yes;no;;Conversation & publication;;การสนทนาและการเผยแพร่;
Copy;;no;yes;no;;Copy;;คัดลอก;
Cost Center;;no;yes;no;;Cost Center;;ศูนย์ต้นทุน;
Cost center;;no;yes;no;;Cost center;;ศูนย์ต้นทุน;
Count;;no;yes;no;;Count;;จำนวน;
Country;;no;yes;no;;Country;;ประเทศ;
Create;;no;yes;no;;Create;;สร้าง;
Create check-in;;no;yes;no;;Create check-in;;สร้างการเช็คอิน;
Create communication round;;no;yes;no;;Create communication round;;สร้างรอบการสื่อสาร;
Create document;;no;yes;no;;Create document;;สร้างเอกสาร;
Create goal;;no;yes;no;;Create goal;;สร้างเป้าหมาย;
Create goal plan;;no;yes;no;;Create goal plan;;สร้างแผนเป้าหมาย;
Create goal type;;no;yes;no;;Create goal type;;สร้างประเภทเป้าหมาย;
Create model;;no;yes;no;;Create model;;สร้างโมเดล;
Create performance review;;no;yes;no;;Create performance review;;สร้างการประเมินผลงาน;
Create rule;;no;yes;no;;Create rule;;สร้างกฎ;
Created;;no;yes;no;;Created;;สร้างแล้ว;
Created by;;no;yes;no;;Created by;;สร้างโดย;
Created date;;no;yes;no;;Created date;;วันที่สร้าง;
Created on;;no;yes;no;;Created on;;สร้างเมื่อ;
Creation date;;no;yes;no;;Creation date;;วันที่สร้าง;
Creator;;no;yes;no;;Creator;;ผู้สร้าง;
Criteria;;no;yes;no;;Criteria;;เกณฑ์;
Criteria blocks;;no;yes;no;;Criteria blocks;;บล็อกเกณฑ์;
Criterion;;no;yes;no;;Criterion;;เกณฑ์;
Currency;;no;yes;no;;Currency;;สกุลเงิน;
Currency Settings;;no;yes;no;;Currency Settings;;การตั้งค่าสกุลเงิน;
Currency field;;no;yes;no;;Currency field;;ช่องสกุลเงิน;
Currency source;;no;yes;no;;Currency source;;แหล่งที่มาของสกุลเงิน;
Current;;no;yes;no;;Current;;ปัจจุบัน;
Current manager;;no;yes;no;;Current manager;;ผู้จัดการปัจจุบัน;
Custom;;no;yes;no;;Custom;;กำหนดเอง;
Custom Entities;;no;yes;no;;Custom Entities;;เอนทิตีแบบกำหนดเอง;
Custom Fields;;no;yes;no;;Custom Fields;;ฟิลด์ที่กำหนดเอง;
Custom column;;no;yes;no;;Custom column;;คอลัมน์ที่กำหนดเอง;
Custom criteria;;no;yes;no;;Custom criteria;;เกณฑ์ที่กำหนดเอง;
Custom entities;;no;yes;no;;Custom entities;;เอนทิตีแบบกำหนดเอง;
Custom fields;;no;yes;no;;Custom fields;;ฟิลด์ที่กำหนดเอง;
Custom section;;no;yes;no;;Custom section;;ส่วนที่กำหนดเอง;
Custom widget;;no;yes;no;;Custom widget;;วิดเจ็ตกำหนดเอง;
Data Entities & Sources;;no;yes;no;;Data Entities & Sources;;เอนทิตีและแหล่งที่มาของข้อมูล;
Data Foundation;;no;yes;no;;Data Foundation;;มูลนิธิข้อมูล;
Data Management;;no;yes;no;;Data Management;;การจัดการข้อมูล;
Data Modeler;;no;yes;no;;Data Modeler;;ผู้สร้างแบบจำลองข้อมูล;
Data Privacy;;no;yes;no;;Data Privacy;;ความเป็นส่วนตัวของข้อมูล;
Data Retention;;no;yes;no;;Data Retention;;การเก็บรักษาข้อมูล;
Data Upload;;no;yes;no;;Data Upload;;อัปโหลดข้อมูล;
Data entities & sources;;no;yes;no;;Data entities & sources;;เอนทิตีข้อมูลและแหล่งข้อมูล;
Data foundation;;no;yes;no;;Data foundation;;มูลนิธิข้อมูล;
Data management;;no;yes;no;;Data management;;การจัดการข้อมูล;
Data model;;no;yes;no;;Data model;;โมเดลข้อมูล;
Data privacy;;no;yes;no;;Data privacy;;ความเป็นส่วนตัวของข้อมูล;
Data privacy statement;;no;yes;no;;Data privacy statement;;คำชี้แจงความเป็นส่วนตัวของข้อมูล;
Data retention period;;no;yes;no;;Data retention period;;ระยะเวลาเก็บรักษาข้อมูล;
Data scope;;no;yes;no;;Data scope;;ขอบเขตข้อมูล;
Data source;;no;yes;no;;Data source;;แหล่งข้อมูล;
Dataset;;no;yes;no;;Dataset;;ชุดข้อมูล;
Date;;no;yes;no;;Date;;วันที่;
Date & Time;;no;yes;no;;Date & Time;;วันที่และเวลา;
Date & time;;no;yes;no;;Date & time;;วันที่และเวลา;
Date to;;no;yes;no;;Date to;;วันที่ถึง;
Days;;no;yes;no;;Days;;วัน;
Deactivate;;no;yes;no;;Deactivate;;ปิดการใช้งาน;
Deactivated;;no;yes;no;;Deactivated;;ปิดการใช้งานแล้ว;
Deactivated user;;no;yes;no;;Deactivated user;;ผู้ใช้ที่ถูกปิดใช้งาน;
Deactivation;;no;yes;no;;Deactivation;;การปิดใช้งาน;
Deadline status;;no;yes;no;;Deadline status;;สถานะกำหนดเวลา;
Decimal;;no;yes;no;;Decimal;;ทศนิยม;
Decimal precision;;no;yes;no;;Decimal precision;;ความแม่นยำทศนิยม;
Default;;no;yes;no;;Default;;ค่าเริ่มต้น;
Default beqom logo;;no;yes;no;;Default beqom logo;;โลโก้ Beqom เริ่มต้น;
Default value;;no;yes;no;;Default value;;ค่าเริ่มต้น;
Delete;;no;yes;no;;Delete;;ลบ;
Delete all;;no;yes;no;;Delete all;;ลบทั้งหมด;
Delete comment;;no;yes;no;;Delete comment;;ลบความคิดเห็น;
Delete goal;;no;yes;no;;Delete goal;;ลบเป้าหมาย;
Delete note;;no;yes;no;;Delete note;;ลบหมายเหตุ;
Delete rule;;no;yes;no;;Delete rule;;ลบกฎ;
Delete selected;;no;yes;no;;Delete selected;;ลบรายการที่เลือก;
Deleted;;no;yes;no;;Deleted;;ลบแล้ว;
Deleted by;;no;yes;no;;Deleted by;;ลบโดย;
Deletion;;no;yes;no;;Deletion;;การลบ;
Deliverable;;no;yes;no;;Deliverable;;สิ่งที่ส่งมอบ;
Deliverables;;no;yes;no;;Deliverables;;สิ่งที่ส่งมอบ;
Demographic;;no;yes;no;;Demographic;;ข้อมูลประชากร;
Demographics;;no;yes;no;;Demographics;;ข้อมูลประชากร;
Department;;no;yes;no;;Department;;แผนก;
Description;;no;yes;no;;Description;;คำอธิบาย;
Desktop;;no;yes;no;;Desktop;;เดสก์ท็อป;
Details;;no;yes;no;;Details;;รายละเอียด;
Development;;no;yes;no;;Development;;การพัฒนา;
Development plans;;no;yes;no;;Development plans;;แผนพัฒนาการ;
Digital reward statement;;no;yes;no;;Digital reward statement;;ใบแจ้งยอดรางวัลดิจิทัล;
Direct Reports;;no;yes;no;;Direct Reports;;ผู้ใต้บังคับบัญชา;
Direct report;;no;yes;no;;Direct report;;ผู้ใต้บังคับบัญชา;
Direct reports;;no;yes;no;;Direct reports;;ผู้ใต้บังคับบัญชา;
Direction;;no;yes;no;;Direction;;ทิศทาง;
Disable;;no;yes;no;;Disable;;ปิดใช้งาน;
Disabled;;no;yes;no;;Disabled;;ปิดใช้งานแล้ว;
Discard;;no;yes;no;;Discard;;ทิ้ง;
Discussion;;no;yes;no;;Discussion;;การสนทนา;
Discussion outcome;;no;yes;no;;Discussion outcome;;ผลการหารือ;
Discussion point;;no;yes;no;;Discussion point;;ประเด็นการสนทนา;
Discussion points;;no;yes;no;;Discussion points;;หัวข้อการสนทนา;
Display name;;no;yes;no;;Display name;;ชื่อที่แสดง;
Distribution;;no;yes;no;;Distribution;;การกระจาย;
Distribution guidelines;;no;yes;no;;Distribution guidelines;;แนวทางการกระจาย;
Document Settings;;no;yes;no;;Document Settings;;การตั้งค่าเอกสาร;
Document Templates;;no;yes;no;;Document Templates;;แม่แบบเอกสาร;
Document generation;;no;yes;no;;Document generation;;การสร้างเอกสาร;
Document name;;no;yes;no;;Document name;;ชื่อเอกสาร;
Document preview;;no;yes;no;;Document preview;;แสดงตัวอย่างเอกสาร;
Document review;;no;yes;no;;Document review;;การประเมินผลงานด้วยอกสาร;
Document settings;;no;yes;no;;Document settings;;การตั้งค่าเอกสาร;
Document status;;no;yes;no;;Document status;;สถานะเอกสาร;
Document template;;no;yes;no;;Document template;;แม่แบบเอกสาร;
Documents;;no;yes;no;;Documents;;เอกสาร;
Done;;no;yes;no;;Done;;เสร็จสิ้น;
Download;;no;yes;no;;Download;;ดาวน์โหลด;
Download CSV;;no;yes;no;;Download CSV;;ดาวน์โหลด CSV;
Download log file;;no;yes;no;;Download log file;;ดาวน์โหลดไฟล์บันทึก;
Download template;;no;yes;no;;Download template;;ดาวน์โหลดเทมเพลต;
Download the template;;no;yes;no;;Download the template;;ดาวน์โหลดเทมเพลต;
Draft;;no;yes;no;;Draft;;แบบร่าง;
Drop-down list;;no;yes;no;;Drop-down list;;รายการดรอปดาวน์;
Due date;;no;yes;no;;Due date;;วันที่ครบกำหนด;
Duplicate;;no;yes;no;;Duplicate;;ทำซ้ำ;
Duplication successful;;no;yes;no;;Duplication successful;;ทำซ้ำสำเร็จ;
Edit;;no;yes;no;;Edit;;แก้ไข;
Edit goal;;no;yes;no;;Edit goal;;แก้ไขเป้าหมาย;
Edit model;;no;yes;no;;Edit model;;แก้ไขโมเดล;
