term,description,casesensitive,translatable,forbidden,tags,en-US,en-US_description,fr-FR,fr-FR_description,de-DE,de-DE_description,en-GB,en-GB_description,it-IT,it-IT_description,th-TH,th-TH_description,es-ES,es-ES_description,pt-PT,pt-PT_description,ja-JP,ja-JP_description,nl-NL,nl-NL_description,tr-TR,tr-TR_description,id-ID,id-ID_description
Feedback,,no,yes,no,,Feedback,,Feedback,,,,Feedback,,,,ฟีดแบค,,,,,,フィードバック,,,,Geri bildirimler,,Umpan balik,
Achievement,,no,yes,no,,Achievement,,Réussite,,Leistung,,Achievement,,Risultato,,ความสำเร็จ,,Logro,,Conquista,,実績,,Prestatie,,Başarı,,Pencapaian,
Achievement summary,,no,yes,no,,Achievement summary,,Résumé des réalisations,,Zusammenfassung der Leistungen,,Achievement summary,,Riepilogo dei risultati,,สรุปผลงาน,,Resumen de logros,,Resumo de conquistas,,達成概要,,Prestatie-overzicht,,Başarı özeti,,Ringkasan pencapaian,
Additional manager,,no,yes,no,,Additional manager,,Manager supplémentaire,,Zusätzliche Führungskraft,,Additional manager,,Manager aggiuntivo,,ผู้จัดการเพิ่มเติม,,Manager adicional,,Gestor adicional,,追加マネージャー,,Extra leidinggevende,,Ek yönetici,,Manajer tambahan,
Additional review,,no,yes,no,,Additional review,,Bilan supplémentaire,,Zusätzliche Beurteilung,,Additional review,,Revisione aggiuntiva,,การประเมินผลงานเพิ่มเติม,,Evaluación adicional,,Avaliação adicional,,追加レビュー,,Aanvullende beoordeling,,Ek değerlendirme,,Ulasan tambahan,
Alignment,,no,yes,no,,Alignment,,Alignement,,Ausrichtung,,Alignment,,Allineamento,,การปรับให้สอดคล้องกัน,,Alineado,,Alinhamento,,調整,,Afstemming,,Hizalama,,,
Analysis,,no,yes,no,,Analysis,,Analyse,,Analyse,,Analysis,,Analisi,,การวิเคราะห์,,Análisis,,Análise,,分析,,Analyse,,Analiz,,Analisis,
Analytics,,no,yes,no,,Analytics,,Analyses,,Analysen,,Analytics,,Analisi,,การวิเคราะห์,,,,Análises,,分析,,,,,,Analitik,
Anonymization,,no,yes,no,,Anonymization,,Anonymisation,,Anonymisierung,,Anonymisation,,Anonimizzazione,,การไม่ระบุตัวตน,,Anonimización,,Anonimização,,匿名化,,Anonimisering,,Anonimleştirme,,Anonimisasi,
Assign,,no,yes,no,,Assign,,Assigner,,Zuweisen,,Assign,,Assegna,,กำหนด,,Asignar,,Atribuir,,割り当て,,Toewijzen,,Ata,,Tugaskan,
Audit trail,,no,yes,no,,Audit trail,,Journal d'audit,,Prüfprotokoll,,Audit trail,,,,เส้นทางการตรวจสอบ,,Registro de auditoría,,Registo de auditoria,,監査証跡,,Controlelogboek,,Denetim izi,,Jejak audit,
Average score,,no,yes,no,,Average score,,Score moyen,,Durchschnittliche Bewertung,,Average score,,Punteggio medio,,คะแนนเฉลี่ย,,Puntuación media,,Pontuação média,,平均スコア,,Gemiddelde score,,Ortalama puan,,Skor rata-rata,
Average total score,,no,yes,no,,Average total score,,Score total moyen,,Durchschnittliche Gesamtpunktzahl,,Average total score,,Punteggio totale medio,,คะแนนรวมเฉลี่ย,,Puntuación total media,,Pontuação total média,,平均合計スコア,,Gemiddelde totaalscore,,Ortalama toplam puan,,Rata-rata skor total,
Behavior,,no,yes,no,,Behavior,,Comportement,,Verhalten,,Behaviour,,Comportamento,,พฤติกรรม,,Comportamiento,,Comportamento,,行動,,Gedrag,,Davranış,,Perilaku,
Behavior library,,no,yes,no,,Behavior library,,Bibliothèque de comportements,,Verhaltensbibliothek,,Behaviour library,,Libreria comportamenti,,คลังพฤติกรรม,,Biblioteca de comportamientos,,Biblioteca de comportamentos,,行動ライブラリ,,Gedragsbibliotheek,,Davranış kitaplığı,,Pustaka perilaku,
Behavior profile,,no,yes,no,,Behavior profile,,Profil comportemental,,Verhaltensprofil,,Behaviour profile,,Profilo comportamentale,,โปรไฟล์พฤติกรรม,,Perfil de comportamiento,,Perfil de comportamento,,行動プロファイル,,Gedragsprofiel,,Davranış profili,,Profil perilaku,
Behavior wheel,,no,yes,no,,Behavior wheel,,Roue des comportements,,Verhaltensdiagramm,,Behaviour wheel,,Ruota comportamentale,,วงล้อพฤติกรรม,,Rueda de comportamiento,,Roda de comportamento,,行動ホイール,,Gedragswiel,,Davranış çarkı,,Diagram perilaku,
Benchmarking,,no,yes,no,,Benchmarking,,Analyse comparative,,,,Benchmarking,,,,การเปรียบเทียบมาตรฐาน,,Comparación,,Avaliação comparativa,,ベンチマーキング,,,,Kıyaslama,,Pembandingan,
Bonus Plans,,no,yes,no,,Bonus Plans,,Plans de bonus,,Bonuspläne,,Bonus Plans,,Piani bonus,,แผนโบนัส,,Planes de bonificación,,Planos de bónus,,ボーナス計画,,Bonusplannen,,Bonus Planları,,Rencana Bonus,
Bonus amount,,no,yes,no,,Bonus amount,,Montant de la prime,,Bonusbetrag,,Bonus amount,,Importo del bonus,,จำนวนโบนัส,,Importe de la bonificación,,Montante do bónus,,ボーナス額,,Bonusbedrag,,Bonus tutarı,,Jumlah bonus,
Bonus plan,,no,yes,no,,Bonus plan,,Plan de bonus,,Bonusplan,,Bonus plan,,Piano bonus,,แผนโบนัส,,Plan de bonificación,,Plano de bónus,,ボーナスプラン,,Bonusplan,,Prim planı,,Rencana bonus,
Boolean,,no,yes,no,,Boolean,,Booléen,,Boolesch,,Boolean,,Booleano,,บูลีน,,Booleano,,Booleano,,ブール,,Booleaans,,,,,
Budget rule,,no,yes,no,,Budget rule,,Règle budgétaire,,Haushaltsregel,,Budget rule,,Regola di budget,,กฎงบประมาณ,,Regla presupuestaria,,Regra de orçamento,,予算ルール,,Budgetregel,,Bütçe kuralı,,Aturan anggaran,
Calculated bonus,,no,yes,no,,Calculated bonus,,Prime calculée,,Berechneter Bonus,,Calculated bonus,,Bonus calcolato,,โบนัสที่คำนวณแล้ว,,Bono calculado,,Bónus calculado,,計算されたボーナス,,Berekende bonus,,Hesaplanan bonus,,Bonus yang dihitung,
Calculated column,,no,yes,no,,Calculated column,,Colonne calculée,,Berechnete Spalte,,Calculated column,,Colonna calcolata,,คอลัมน์ที่คำนวณแล้ว,,Columna calculada,,Coluna calculada,,計算列,,Berekende kolom,,Hesaplanan sütun,,Kolom terhitung,
Calibration,,no,yes,no,,Calibration,,Calibrage,,Kalibrierung,,Calibration,,Calibrazione,,การสอบเทียบ,,Calibración,,Calibração,,キャリブレーション,,Kalibratie,,Kalibrasyon,,Kalibrasi,
Cancel,,no,yes,no,,Cancel,,Annuler,,Abbrechen,,Cancel,,Annulla,,ยกเลิก,,Cancelar,,Cancelar,,キャンセル,,Annuleren,,İptal,,Batal,
Career development,,no,yes,no,,Career development,,Développement de carrière,,Langfristige Entwicklungsplanung,,Career development,,Sviluppo professionale,,แผนพัฒนาความก้าวหน้าในสายอาชีพ,,Desarrollo profesional,,Desenvolvimento de carreira,,キャリア開発,,Loopbaanontwikkeling,,Kariyer gelişimi,,Pengembangan karier,
Career development plan,,no,yes,no,,Career development plan,,Plan de développement de carrière,,Karriereentwicklungsplan,,Career development plan,,Piano di sviluppo della carriera,,แผนพัฒนาสายอาชีพ,,Plan de desarrollo profesional,,Plano de desenvolvimento de carreira,,キャリア開発計画,,Loopbaanontwikkelingsplan,,Kariyer gelişim planı,,Rencana pengembangan karier,
Challenge process,,no,yes,no,,Challenge process,,Processus de contestation,,Anfechtungsprozess,,Challenge process,,Processo di contestazione,,กระบวนการคัดค้าน,,Proceso de impugnación,,Processo de contestação,,異議申し立てプロセス,,Uitdagingsproces,,İtiraz süreci,,Proses sanggahan,
Check-in Details,,no,yes,no,,Check-in Details,,Détails du check-in,,Check-in-Details,,Check-in Details,,Dettagli check-in,,รายละเอียดการเช็กอิน,,Detalles del check-in,,Detalhes do Check-in,,チェックインの詳細,,Details check-in,,Check-in Görüşmesi Ayrıntıları,,Rincian Check-in,
Check-in Status,,no,yes,no,,Check-in Status,,Statut des check-ins,,Check-in-Status,,Check-in Status,,Stato check-in,,สถานะการเช็กอิน,,Estado del check-in,,Estado do Check-in,,チェックインのステータス,,Status check-in,,Check-in Görüşmesi Durumu,,Status Check-in,
Check-in date,,no,yes,no,,Check-in date,,Date du check-in,,Check-in-Datum,,Check-in date,,Data del check-in,,วันที่เช็คอิน,,Fecha de consulta,,Data do check-in,,チェックイン日,,Check-in-datum,,Check-in görüşmesi tarihi,,Tanggal check-in,
Clear,,no,yes,no,,Clear,,Effacer,,Löschen,,Clear,,Cancella,,ล้าง,,Borrar,,Limpar,,クリア,,Duidelijk,,Temizle,,Hapus,
Clear all,,no,yes,no,,Clear all,,Effacer tout,,Alles löschen,,Clear all,,Cancella tutto,,ล้างทั้งหมด,,Borrar todo,,Limpar tudo,,すべてクリア,,Alles wissen,,Tümünü temizle,,Hapus semua,
Comm manager,,no,yes,no,,Comm manager,,Manager de communication,,Kommunikationsmanager:in,,Comm manager,,Responsabile comunicazione,,ผู้จัดการฝ่ายสื่อสาร,,Responsable de comunicación,,Gestor de comunicações,,コミュニケーションマネージャー,,Communicatiemanager,,İletişim yöneticisi,,Manajer komunikasi,
Comm round,,no,yes,no,,Comm round,,Cycle de communication,,Vergütungsrunde,,Comm round,,Turno di comm,,รอบการสื่อสาร,,Ronda de comunicación,,Ronda de comunicação,,コミュニケーションラウンド,,Communicatieronde,,İletişim turu,,Putaran komunikasi,
Communication manager,,no,yes,no,,Communication manager,,Responsable de la communication,,Kommunikationsmanager,,Communication manager,,Manager della comunicazione,,หัวหน้างานฝ่ายการสื่อสาร,,Responsable de comunicación,,Gestor de comunicação,,通信マネージャ,,Communicatiemanager,,İletişim yöneticisi,,Manajer komunikasi,
Communication round,,no,yes,no,,Communication round,,Cycle de communication,,Kommunikationsrunde,,Communication round,,Turno di comunicazione,,รอบการสื่อสาร,,Ronda de comunicación,,Ronda de comunicação,,コミュニケーションラウンド,,Communicatieronde,,İletişim turu,,Putaran komunikasi,
Comp element,,no,yes,no,,Comp element,,Élément de rémunération,,Vergütungselement,,Comp element,,Elemento retribuzione,,องค์ประกอบผลตอบแทน,,Elemento de compensación,,Elemento de compensação,,報酬要素,,Comp-element,,Ücretlendirme öğesi,,Elemen kompensasi,
Comp manager,,no,yes,no,,Comp manager,,Manager comp,,Vergütungsmanager,,Comp manager,,,,ผู้จัดการค่าตอบแทน,,Manager de compensación,,Gestor de compensações,,コンプマネージャー,,Comp-manager,,Komp yöneticisi,,Manajer kompensasi,
Comp round,,no,yes,no,,Comp round,,Cycle de rémunération,,Vergütungsrunde,,Comp round,,Ciclo di retribuzione,,รอบการจ่ายผลตอบแทน,,Ronda de compensación,,Ronda de compensação,,報酬ラウンド,,Compensatieronde,,Ücretlendirme dönemi,,Siklus kompensasi,
Comp round currency,,no,yes,no,,Comp round currency,,Devise du cycle de rémunération,,Währung der Vergütungsrunde,,Comp round currency,,Valuta di arrotondamento della retribuzione,,สกุลเงินสำหรับรอบการชดเชย,,Moneda de la ronda de compensación,,Moeda de ronda de comp,,報酬ラウンド通貨,,Comp ronde valuta,,Karşılaştırma turu para birimi,,Mata uang pembulatan kompensasi,
Comp tree,,no,yes,no,,Comp tree,,Arbre de rémunération,,Vergütungsplaner,,Comp tree,,Struttura ad albero retribuzione,,แผนภูมิผลตอบแทน,,Árbol de compensación,,Árvore de compensação,,報酬ツリー,,Compensatieboom,,Ücretlendirme ağacı,,Hierarki kompensasi,
Compensation Management,,no,yes,no,,Compensation Management,,Gestion de la rémunération,,Vergütungsmanagement,,Compensation Management,,Gestione della retribuzione,,การจัดการค่าตอบแทน,,Gestión de compensaciones,,Gestão de Remuneração,,報酬管理,,Compensatiemanagement,,Ücret Yönetimi,,Manajemen Kompensasi,
Compensation element,,no,yes,no,,Compensation element,,Elément de rémunération,,Vergütungselement,,Compensation element,,Elemento della retribuzione,,องค์ประกอบผลตอบแทน,,Elemento de compensación,,Elemento de compensação,,報酬要素,,Compensatie-element,,Ücretlendirme öğesi,,Elemen kompensasi,
Compensation framework,,no,yes,no,,Compensation framework,,Système de rémunération,,Vergütungsrahmen,,Compensation framework,,Quadro retributivo,,กรอบงานผลตอบแทน,,Marco de compensación,,Estrutura de compensação,,報酬フレームワーク,,Compensatiekader,,Ücretlendirme çerçevesi,,Kerangka kompensasi,
Compensation history,,no,yes,no,,Compensation history,,Historique de rémunération,,Vergütungsverlauf,,Compensation history,,Cronologia retributiva,,ประวัติการจ่ายผลตอบแทน,,Historial de compensación,,Histórico de compensação,,報酬履歴,,Compensatiegeschiedenis,,Ücretlendirme geçmişi,,Riwayat kompensasi,
Compensation manager,,no,yes,no,,Compensation manager,,Manager de rémunération,,Vergütungsmanager,,Compensation manager,,Manager della retribuzione,,หัวหน้างานฝ่ายผลตอบแทน,,Gerente de compensación,,Gestor de compensação,,報酬マネージャ,,Compensatiebeheerder,,Ücretlendirme yöneticisi,,Manajer kompensasi,
Compensation philosophy,,no,yes,no,,Compensation philosophy,,Philosophie de rémunération,,Vergütungsphilosophie,,Compensation philosophy,,Filosofia della retribuzione,,ปรัชญาการให้ค่าตอบแทน,,Filosofía de compensación,,Filosofia de compensação,,報酬方針,,Beloningsfilosofie,,Ücretlendirme felsefesi,,Filosofi kompensasi,
Compensation rounds,,no,yes,no,,Compensation rounds,,Cycles de compensation,,Vergütungsrunden,,Compensation rounds,,Cicli di compensazione,,รอบการชดเชย,,Rondas de compensación,,Rondas de compensação,,補償ラウンド,,Compensatierondes,,Tazminat turları,,Putaran kompensasi,
Competency scale,,no,yes,no,,Competency scale,,Échelle d'aptitudes,,Kompetenzskala,,Competency scale,,Scala delle competenze,,ระดับความสามารถ,,Escala de competencias,,Escala de competências,,能力尺度,,Competentieschaal,,Yetkinlik ölçeği,,Skala kompetensi,
Constructive,,no,yes,no,,Constructive,,Constructif,,Konstruktiv,,Constructive,,Costruttivo,,สร้างสรรค์,,Constructivo,,Construtivo,,建設的,,Constructief,,Yapıcı,,Konstruktif,
Cost center,,no,yes,no,,Cost center,,Centre de coûts,,Kostenstelle,,Cost centre,,Centro di costo,,ศูนย์ต้นทุน,,Centro de costes,,Centro de custos,,コストセンター,,Kostenplaats,,Maliyet merkezi,,Pusat biaya,
Criteria,,no,yes,no,,Criteria,,Critères,,Kriterien,,Criteria,,Criteri,,เกณฑ์,,Criterios,,Critérios,,基準,,,,Kriterler,,Kriteria,
Criteria blocks,,no,yes,no,,Criteria blocks,,Blocs de critères,,Kriterienblöcke,,Criteria blocks,,Blocchi di criteri,,บล็อกเกณฑ์,,Bloques de criterios,,Blocos de critérios,,基準ブロック,,Criteriablokken,,Kriter blokları,,Blok kriteria,
Criterion,,no,yes,no,,Criterion,,Critère,,Kriterium,,Criterion,,Criterio,,เกณฑ์,,Criterio,,Critério,,基準,,Criterium,,Kriter,,Kriteria,
Currency,,no,yes,no,,Currency,,Devise,,Währung,,Currency,,Valuta,,สกุลเงิน,,Moneda,,Moeda,,通貨,,Valuta,,Para Birimi,,Mata uang,
Custom column,,no,yes,no,,Custom column,,Colonne personnalisée,,Benutzerdefinierte Spalte,,Custom column,,Colonna personalizzata,,คอลัมน์ที่กำหนดเอง,,Columna personalizada,,Coluna personalizada,,カスタム列,,Aangepaste kolom,,Özel sütun,,Kolom kustom,
Custom criteria,,no,yes,no,,Custom criteria,,Critères personnalisés,,Benutzerdefinierte Kriterien,,Custom criteria,,Criteri personalizzati,,เกณฑ์ที่กำหนดเอง,,Criterios personalizados,,Critérios personalizados,,カスタム条件,,Aangepaste criteria,,Özel kriterler,,Kriteria kustom,
Custom entities,,no,yes,no,,Custom entities,,Entités personnalisées,,Benutzerdefinierte Entitäten,,Custom entities,,Entità personalizzate,,เอนทิตีแบบกำหนดเอง,,Entidades personalizadas,,Entidades personalizadas,,カスタムエンティティ,,Aangepaste entiteiten,,Özel varlıklar,,Entitas kustom,
Custom fields,,no,yes,no,,Custom fields,,Champs personnalisés,,Benutzerdefinierte Felder,,Custom fields,,Campi personalizzati,,ฟิลด์ที่กำหนดเอง,,Campos personalizados,,Campos personalizados,,カスタムフィールド,,Aangepaste velden,,Özel alanlar,,Bidang khusus,
Custom section,,no,yes,no,,Custom section,,Section personnalisée,,Benutzerdefinierter Abschnitt,,Custom section,,Sezione personalizzata,,ส่วนที่กำหนดเอง,,Sección personalizada,,Secção personalizada,,カスタムセクション,,Aangepast gedeelte,,Özel bölüm,,Bagian khusus,
Custom widget,,no,yes,no,,Custom widget,,Widget personnalisé,,Benutzerdefiniertes Widget,,Custom widget,,Widget personalizzato,,วิดเจ็ตกำหนดเอง,,Widget personalizado,,Widget personalizado,,カスタムウィジェット,,Aangepaste widget,,Özel pencere öğesi,,Widget khusus,
Data Modeler,,no,yes,no,,Data Modeler,,Modélisateur de données,,,,Data Modeller,,Strumento di modellazione dei dati,,ผู้สร้างแบบจำลองข้อมูล,,,,,,,,,,Veri Modelleyici,,,
Data Retention,,no,yes,no,,Data Retention,,Conservation des données,,Datenaufbewahrung,,Data Retention,,Conservazione dei dati,,การเก็บรักษาข้อมูล,,Retención de datos,,Retenção de dados,,データ保持,,Dataretentie,,Veri Saklama,,Retensi Data,
Data Upload,,no,yes,no,,Data Upload,,Importation de données,,Daten-Upload,,Data Upload,,Caricamento dati,,อัปโหลดข้อมูล,,Carga de datos,,Carregamento de Dados,,データのアップロード,,Gegevens uploaden,,Veri Yükleme,,Unggah Data,
Data entities & sources,,no,yes,no,,Data entities & sources,,Entités & sources de données,,Datenentitäten & Quellen,,Data entities & sources,,Entità e fonti di dati,,เอนทิตีข้อมูลและแหล่งข้อมูล,,Entidades y fuentes de datos,,Entidades e fontes de dados,,データエンティティとソース,,Gegevensentiteiten & bronnen,,Veri varlıkları ve kaynakları,,Entitas & sumber data,
Data foundation,,no,yes,no,,Data foundation,,Fondation de données,,Datenbasis,,Data foundation,,Fondazione dei dati,,มูลนิธิข้อมูล,,Base de datos,,Fundação de dados,,,,Gegevensbasis,,Veri temeli,,Data dasar,
Data management,,no,yes,no,,Data management,,Gestion des données,,Datenverwaltung,,Data management,,Gestione dei dati,,การจัดการข้อมูล,,Gestión de datos,,Gestão de dados,,データ管理,,Gegevensbeheer,,Veri yönetimi,,Manajemen data,
Data model,,no,yes,no,,Data model,,Modèle de données,,Datenmodell,,Data model,,Modello di dati,,โมเดลข้อมูล,,Modelo de datos,,Modelo de dados,,データモデル,,Datamodel,,Veri modeli,,Model data,
Data privacy,,no,yes,no,,Data privacy,,Confidentialité des données,,Datenschutz,,Data privacy,,Privacy dei dati,,ความเป็นส่วนตัวของข้อมูล,,Privacidad de los datos,,Privacidade de dados,,データプライバシー,,Gegevensprivacy,,Veri gizliliği,,Privasi data,
Data privacy statement,,no,yes,no,,Data privacy statement,,Déclaration de confidentialité des données,,Datenschutzerklärung,,Data privacy statement,,Informativa sulla privacy dei dati,,คำชี้แจงความเป็นส่วนตัวของข้อมูล,,Declaración de privacidad de datos,,Declaração de privacidade de dados,,データプライバシー声明,,Verklaring gegevensbescherming,,Veri gizliliği bildirimi,,Pernyataan privasi data,
Data retention period,,no,yes,no,,Data retention period,,Période de conservation des données,,Dauer der Datenaufbewahrung,,Data retention period,,Periodo di conservazione dei dati,,ระยะเวลาเก็บรักษาข้อมูล,,Período de retención de datos,,Período de retenção de dados,,データ保持期間,,Dataretentieperiode,,Veri saklama süresi,,Periode retensi data,
Data scope,,no,yes,no,,Data scope,,Portée des données,,Datenumfang,,Data scope,,Ambito dei dati,,ขอบเขตข้อมูล,,Alcance de los datos,,Âmbito de dados,,データ範囲,,Gegevensbereik,,Veri kapsamı,,Cakupan data,
Data source,,no,yes,no,,Data source,,Source de données,,Datenquelle,,Data source,,Origine dati,,แหล่งข้อมูล,,Fuente de datos,,Fonte de dados,,データソース,,Gegevensbron,,Veri kaynağı,,Sumber data,
Dataset,,no,yes,no,,Dataset,,Jeu de données,,Datensatz,,Dataset,,,,ชุดข้อมูล,,Conjunto de datos,,Conjunto de dados,,データセット,,,,Veri Kümesi,,,
Decimal precision,,no,yes,no,,Decimal precision,,Précision décimale,,Dezimalgenauigkeit,,Decimal precision,,Precisione decimale,,ความแม่นยำทศนิยม,,Precisión decimal,,Precisão decimal,,小数精度,,Decimale precisie,,Ondalık hassasiyeti,,Presisi desimal,
Default value,,no,yes,no,,Default value,,Valeur par défaut,,Standardwert,,Default value,,Valore predefinito,,ค่าเริ่มต้น,,Valor predeterminado,,Valor padrão,,デフォルト値,,Standaardwaarde,,Varsayılan değer,,Nilai default,
Delete,,no,yes,no,,Delete,,Supprimer,,Löschen,,Delete,,Elimina,,ลบ,,Eliminar,,Eliminar,,削除,,Verwijderen,,Sil,,Hapus,
Deliverable,,no,yes,no,,Deliverable,,Livrable,,Arbeitsergebnis,,Deliverable,,Risultato,,สิ่งที่ส่งมอบ,,Entregable,,Entregável,,成果,,Opleverbaar,,Teslim edilecek öğe,,Hasil kerja,
Digital reward statement,,no,yes,no,,Digital reward statement,,Relevé de rémunération numérique,,Digitale Prämienabrechnung,,Digital reward statement,,Rendiconto dei premi digitali,,ใบแจ้งยอดรางวัลดิจิทัล,,Extracto de recompensa digital,,Extrato de recompensas digitais,,デジタル報酬明細書,,Digitaal beloningsoverzicht,,Dijital ödül bildirimi,,Pernyataan hadiah digital,
Direct report,,no,yes,no,,Direct report,,Subordonné direct,,Direkt unterstellte:r Mitarbeiter:in,,Direct report,,Subordinato diretto,,ผู้ใต้บังคับบัญชา,,Subordinado directo,,Subordinado direto,,直属の部下,,Directe rapportage,,Doğrudan bağlı çalışan,,Bawahan langsung,
