term,description,casesensitive,translatable,forbidden,tags,en-US,en-US_description,fr-FR,fr-FR_description,de-DE,de-DE_description,es-ES,es-ES_description,it-IT,it-IT_description,is-IS,is-IS_description,sv-SE,sv-SE_description
Above max compensation analysis,,FALSE,TRUE,FALSE,PayAnalytics,Above max compensation analysis,,Analyse de rémunération au dessus du max.,,Analyse über max. Gehalt,,Análisis de remuneración por encima del máx.,,Analisi retribuzione al di sopra del massimo,,Hámarks-launagreining,,Analys av löner över högsta,
Additional compensation settings,,FALSE,TRUE,FALSE,PayAnalytics,Additional compensation settings,,Paramètres de rémunération supplémentaires,,Zusätzliche Vergütungseinstellungen,,Ajustes adicionales de la remuneración,,Impostazioni di retribuzione aggiuntive.,,Viðbótarstillingar fyrir laun,,Ytterligare löneinställningar,
Adjust for other compensation,,FALSE,TRUE,FALSE,PayAnalytics,Adjust for other compensation,,Ajuster pour d'autres rémunérations,,Anpassung für sonstige Vergütungen,,Ajustar para otras remuneraciones,,Rettifica per altre retribuzioni,,Aðlaga að öðrum launum,,Justera för övrig ersättning,
Adjusted gender pay gap,,FALSE,TRUE,FALSE,PayAnalytics,Adjusted gender pay gap,,Écart de rémunération ajusté entre les femmes et les hommes,,Bereinigte Lohnlücke,,Brecha salarial de género ajustada,,Differenza retributiva di genere rettificata,,Leiðrétt launabil kynja,,Justerad löneskillnad mellan könen,
Adjusted pay gap,,FALSE,TRUE,FALSE,PayAnalytics,Adjusted pay gap,,Écart salarial ajusté,,Bereinigte Lohnlücke,,Brecha salarial ajustada,,Divario retributivo rettificato,,Leiðrétt launabil,,Justerat lönegap,
Adjusted pay gap after raises,,FALSE,TRUE,FALSE,PayAnalytics,Adjusted pay gap after raises,,Écart salarial ajusté après les augmentations,,Angepasstes Lohngefälle nach Gehaltserhöhungen,,Brecha salarial ajustada tras los aumentos,,Differenza retributiva rettificata dopo gli aumenti,,Leiðrétt launabil eftir hækkanir,,Justerad löneskillnad efter höjningar,
Adjusted pay gap before raises,,FALSE,TRUE,FALSE,PayAnalytics,Adjusted pay gap before raises,,Écart salarial ajusté avant les augmentations,,Bereinigtes Lohngefälle vor Gehaltserhöhungen,,Brecha salarial ajustada antes de los aumentos,,Divario retributivo rettificato prima degli aumenti,,Leiðrétt launabil fyrir hækkanir,,Justerad löneskillnad före höjningar,
Adjusted pay gap within group,,FALSE,TRUE,FALSE,PayAnalytics,Adjusted pay gap within group,,Écart salarial ajusté au sein du groupe,,Korrigierter Lohnunterschied innerhalb der Gruppe,,Brecha salarial ajustada dentro del grupo,,Divario retributivo rettificato all'interno del gruppo,,Leiðrétt launabil innan hóps,,Justerat lönegap inom gruppen,
All appointment percentages,,FALSE,TRUE,FALSE,PayAnalytics,All appointment percentages,,Tous les pourcentages de nomination,,Alle Ernennungsprozentsätze,,Todos los porcentajes de nombramiento,,Tutte le percentuali di nomina,,Óháð starfshlutfalli,,Alla procentsatser av utnämningar,
Analyses (for adjusted pay gap comparison),,FALSE,TRUE,FALSE,PayAnalytics,Analyses (for adjusted pay gap comparison),,Analyses (pour la comparaison de l'écart salarial ajusté),,Analysen (Vergleich der bereinigten Lohnlücken),,Análisis (para la comparación de la brecha salarial ajustada),,Analisi (per il confronto del divario retributivo rettificato),,Greiningar (fyrir samanburð á leiðréttu launabili),,Analyser (för justerad löneklyfta),
Analysis configuration,,FALSE,TRUE,FALSE,PayAnalytics,Analysis configuration,,Configuration de l'analyse,,Konfiguration der Analyse,,Configuración de análisis,,Configurazione dell'analisi,,Stillingar fyrir greiningu,,Analyskonfiguration,
Analysis configuration not found,,FALSE,TRUE,FALSE,PayAnalytics,Analysis configuration not found,,Configuration d'analyse introuvable,,Die Analysekonfiguration wurde nicht gefunden,,No se encontró la configuración de análisis,,Configurazione di analisi non trovata,,,,Analyskonfiguration hittades inte,
Annual remuneration ratio,,FALSE,TRUE,FALSE,PayAnalytics,Annual remuneration ratio,,Taux de rémunération annuel,,Jährliches Vergütungsverhältnis,,Coeficiente de remuneración anual,,Rapporto di remunerazione annuo,,,,Årlig ersättningsgrad,
Annual total compensation,,FALSE,TRUE,FALSE,PayAnalytics,Annual total compensation,,Rémunération totale annuelle,,Jährliche Gesamtvergütung,,Compensación total anual,,Compensazione totale annua,,,,Årlig total ersättning,
Assign factors to employees,,FALSE,TRUE,FALSE,PayAnalytics,Assign factors to employees,,Assigner des facteurs aux employés,,Weisen Sie den Beschäftigten Faktoren zu,,Asignar factores a empleados,,Assegna fattori ai dipendenti,,Tengja matsþætti við starfsfólk,,Tilldela anställda faktorer,
Assign factors to jobs,,FALSE,TRUE,FALSE,PayAnalytics,Assign factors to jobs,,Assigner des facteurs aux emplois,,Weisen Sie Tätigkeiten Faktoren zu,,Asignar factores a puestos de trabajo,,Assegna fattori ai lavori,,Tengja matsþætti við störf,,Tilldela faktorer till jobb,
Attrition,,FALSE,TRUE,FALSE,PayAnalytics,Attrition,,Départs,,Arbeitskräfteabgang,,Bajas,,Abbandono,,Starfslok,,Avgångar,
Automatically scale,,FALSE,TRUE,FALSE,PayAnalytics,Automatically scale,,Échelle automatique,,Automatisch skalieren,,Escalar automáticamente,,Applica automaticamente la ponderazione,,Sjálfvirk skölun,,Skala automatiskt,
Average,,FALSE,TRUE,FALSE,PayAnalytics,Average,,Moyenne,,Durchschnittlich,,Promedio,,Media,,Meðaltal,,Genomsnittlig,
Average compensation,,FALSE,TRUE,FALSE,PayAnalytics,Average compensation,,Rémunération moyenne,,Durchschnittsgehalt,,Remuneración media,,Retribuzione media,,Meðallaun,,Genomsnittlig kompensation,
Average compensation for women,,FALSE,TRUE,FALSE,PayAnalytics,Average compensation for women,,Rémunération moyenne des femmes,,Durchschnittsgehalt für Frauen,,Remuneración media de las mujeres,,Retribuzione media delle donne,,Meðallaun kvenna,,Genomsnittlig lön för kvinnor,
Average hourly salary pay gap,,FALSE,TRUE,FALSE,PayAnalytics,Average hourly salary pay gap,,Écart salarial horaire moyen,,Durchschnittliches Lohngefälle pro Stunde,,Brecha salarial promedio por hora,,Differenza salariale oraria media,,,,Genomsnittlig timlöneskillnad,
Average hourly total compensation pay gap,,FALSE,TRUE,FALSE,PayAnalytics,Average hourly total compensation pay gap,,Écart salarial total horaire moyen,,Durchschnittliche Gehaltsdifferenz bei der Gesamtvergütung pro Stunde,,Brecha salarial promedio por hora de compensación total,,Divario retributivo totale medio orario,,,,Genomsnittlig total löneskillnad per timme,
Average pay gap,,FALSE,TRUE,FALSE,PayAnalytics,Average pay gap,,Écart salarial moyen,,Durchschnittliches Lohngefälle,,Brecha salarial promedio,,Divario retributivo medio,,Meðallaunabil,,Genomsnittligt lönegap,
Average raises,,FALSE,TRUE,FALSE,PayAnalytics,Average raises,,Augmentations moyennes,,Durchschnittliche Lohnerhöhungen,,Aumentos promedio,,Aumenti medi,,Meðal launahækkanir,,Genomsnittliga löneökningar,
Average salary by category,,FALSE,TRUE,FALSE,PayAnalytics,Average salary by category,,Salaire moyen par catégorie,,Durchschnittsgehalt nach Kategorie,,Salario medio por categoría,,Stipendio medio per categoria,,Meðallaun eftir flokkum,,Genomsnittslön per kategori,
Average salary pay gap,,FALSE,TRUE,FALSE,PayAnalytics,Average salary pay gap,,Écart salarial moyen,,Durchschnittliches Gehaltsgefälle,,Brecha salarial promedio,,Differenza salariale media,,,,Genomsnittlig löneskillnad,
Average total compensation pay gap,,FALSE,TRUE,FALSE,PayAnalytics,Average total compensation pay gap,,Écart salarial total moyen,,Durchschnittliches Lohngefälle bei der Gesamtvergütung,,Brecha salarial promedio de compensación total,,Divario retributivo totale medio,,,,Genomsnittlig total löneskillnad,
Average wage,,FALSE,TRUE,FALSE,PayAnalytics,Average wage,,Salaire moyen,,Durchschnittlicher Lohn,,Salario medio,,Salario medio,,Meðallaun,,Genomsnittslön,
Base compensation,,FALSE,TRUE,FALSE,PayAnalytics,Base compensation,,Rémunération de base,,Grundgehalt,,Remuneración base,,Retribuzione base,,Grunnlaun,,Grundlön,
Base salary,,FALSE,TRUE,FALSE,PayAnalytics,Base salary,,Rémunération de base,,Grundgehalt,,Remuneración base,,Stipendio base,,Grunnlaun,,Grundlön,
Below min compensation analysis,,FALSE,TRUE,FALSE,PayAnalytics,Below min compensation analysis,,Analyse de rémunération en dessous du min.,,Analyse unter min. Gehalt,,Análisis de remuneración por debajo del mín.,,Analisi retribuzione al di sotto del minimo,,Lágmarks-launagreining,,Analys av löner under lägsta,
Benchmarking table,,FALSE,TRUE,FALSE,PayAnalytics,Benchmarking table,,Table du benchmark,,Benchmarking-Tabelle,,Tabla de estudio comparativo,,Tabella di benchmark,,Markaðslaunatafla,,Riktmärkningstabell,
Benefits in kind,,FALSE,TRUE,FALSE,PayAnalytics,Benefits in kind,,Avantages en nature,,Sachbezüge,,Prestaciones en especie,,Prestazioni in natura,,Fríðindi,,Naturaförmåner,
Bonus,,FALSE,TRUE,FALSE,PayAnalytics,Bonus,,Prime,,,,Bonificación,,,,Bónusgreiðsla,,,
Bonus recipients,,FALSE,TRUE,FALSE,PayAnalytics,Bonus recipients,,Bénéficiaires de primes,,Empfänger von Boni,,Receptores de bonificación,,Beneficiari di bonus,,Viðtakendur bónusgreiðslna,,Bonusmottagare,
Bonus remuneration,,FALSE,TRUE,FALSE,PayAnalytics,Bonus remuneration,,Prime de rémunération,,Bonuszahlungen,,Bonificación,,Retribuzione bonus,,Bónusgreiðsla,,Bonusersättning,
Bonuses and benefits in kind,,FALSE,TRUE,FALSE,PayAnalytics,Bonuses and benefits in kind,,Bonus et avantages en nature,,Boni und Sachleistungen,,Bonificaciones y prestaciones en especie,,Bonus e benefici in natura,,Bónusgreiðslur og fríðindi,,Bonusar och naturaförmåner.,
Both before and after raises,,FALSE,TRUE,FALSE,PayAnalytics,Both before and after raises,,Avant et après les augmentations,,Sowohl vor als auch nach den Gehaltserhöhungen,,Tanto antes como después de los aumentos,,Sia prima che dopo i rilanci,,,,Både före och efter höjningar,
Bottom 10% representation,,FALSE,TRUE,FALSE,PayAnalytics,Bottom 10% representation,,Représentation du 10% inférieur,,Repräsentation der untersten 10 %,,Representación en el 10% inferior,,Rappresentanza del 10% inferiore,,Fjöldi í neðstu 10%,,De 10 procenten med lägst andel representerade,
Bottom quartile,,FALSE,TRUE,FALSE,PayAnalytics,Bottom quartile,,Quartile inférieur,,Unteres Quartil,,Cuartil inferior,,Quartile inferiore,,Neðsti fjórðungur,,Lägsta kvartilen,
Breakdown by bracket,,FALSE,TRUE,FALSE,PayAnalytics,Breakdown by bracket,,Répartition par fourchette,,Aufschlüsselung nach Gruppe,,Desglose por tramo,,Ripartizione per fascia,,Sundurliðun eftir bilum,,Fördelning efter grupp,
Breakdown by gender,,FALSE,TRUE,FALSE,PayAnalytics,Breakdown by gender,,Répartition par sexe,,Aufschlüsselung nach Geschlecht,,Desglose por género,,Ripartizione per genere,,,,Uppdelning efter kön,
Breakdown by headcount,,FALSE,TRUE,FALSE,PayAnalytics,Breakdown by headcount,,Répartition par effectif,,Aufschlüsselung nach Personalbestand,,Desglose por recuento,,Ripartizione per effettivi,,Sundurliðun eftir fjölda,,Fördelning efter antal personer,
Breakdown by quartiles,,FALSE,TRUE,FALSE,PayAnalytics,Breakdown by quartiles,,Répartition par quartiles,,Aufschlüsselung nach Quartilen,,Desglose en cuartiles,,Ripartizione per quartili,,Sundurliðun eftir fjórðungum,,Fördelning efter kvartiler,
Budget,,FALSE,TRUE,FALSE,PayAnalytics,Budget,,,,,,Presupuesto,,,,Fjármagn,,,
Categorization,,FALSE,TRUE,FALSE,PayAnalytics,Categorization,,Catégorisation,,Kategorisierung,,Categorización,,Categorizzazione,,Flokkun,,Kategorisering,
Clear similarity score,,FALSE,TRUE,FALSE,PayAnalytics,Clear similarity score,,Effacer le score de similarité,,Ähnlichkeitsscore zurücksetzen,,Borrar la puntuación de similitud,,Azzera punteggio di somiglianza,,Slökkva á samanburðarreikningi,,Rensa likhetspoäng,
Comment available on all datasets,,FALSE,TRUE,FALSE,PayAnalytics,Comment available on all datasets,,Commentaire disponible sur tous les Jeux de données,,Kommentar ist auf allen Datensätze verfügbar,,Comentario disponible en todos los conjuntos de datos,,Commento disponibile in tutti i set di dati,,Athugasemd sýnileg á öllum gagnasettum,,Kommentar tillgänglig i alla datamängder,
Common factors,,FALSE,TRUE,FALSE,PayAnalytics,Common factors,,Facteurs fréquents,,Gebräuchliche Faktoren,,Factores habituales,,Fattori comuni,,Algengir flokkar,,Vanliga faktorer,
Common sub-factors,,FALSE,TRUE,FALSE,PayAnalytics,Common sub-factors,,Sous-faccteurs fréquents,,Gebäuchliche Unterfaktoren,,Subfactores habituales,,Sotto-fattori comuni,,Algengir matsþættir,,Vanliga delfaktorer,
Comparable jobs,,FALSE,TRUE,FALSE,PayAnalytics,Comparable jobs,,Emplois comparables,,,,,,,,,,,
Compare,,FALSE,TRUE,FALSE,PayAnalytics,Compare,,Comparer,,Vergleichen,,Comparar,,Confronta,,Bera saman,,Jämför,
Comparison,,FALSE,TRUE,FALSE,PayAnalytics,Comparison,,Comparaison,,Vergleich,,Comparación,,Confronto,,,,Jämförelse,
Comparison by category,,FALSE,TRUE,FALSE,PayAnalytics,Comparison by category,,Comparaison par catégorie,,Vergleich nach Kategorie,,Comparación por categoría,,Confronto per categoria,,Samanburður eftir flokkum,,Jämförelse efter kategori,
Comparison compensation,,FALSE,TRUE,FALSE,PayAnalytics,Comparison compensation,,Rémunération de comparaison,,Vergleichsvergütung,,Remuneración de comparación,,Confronto retribuzione,,Samanburðarlaun,,Jämförelse av ersättning,
Comparison configuration,,FALSE,TRUE,FALSE,PayAnalytics,Comparison configuration,,Configuration de la comparaison,,Vergleichskonfiguration,,Configuración de la comparación,,Configurazione confronto,,Stilling samanburðar,,Inställningar för jämförelser,
Comparison dataset,,FALSE,TRUE,FALSE,PayAnalytics,Comparison dataset,,Jeu de données de comparaison,,Vergleichsdatensatz,,Conjunto de datos de comparación,,Set di dati di confronto,,Samanburðargagnasett,,Jämförande datamängd,
Comparison dataset required,,FALSE,TRUE,FALSE,PayAnalytics,Comparison dataset required,,Jeu de données de comparaison requis,,Vergleichsdatensatz erforderlich,,Se necesita un conjunto de datos de comparación,,Set di dati di confronto richiesto,,Samanburðargagnasett þarf að vera valið,,Jämförande datamängd som krävs,
Comparison details,,FALSE,TRUE,FALSE,PayAnalytics,Comparison details,,Détails de la comparaison,,Details zum Vergleich,,Detalles de la comparación,,Dettagli confronto,,Nánar um samanburðinn,,Detaljer om jämförelsen,
Comparison filter,,FALSE,TRUE,FALSE,PayAnalytics,Comparison filter,,Filtre de comparaison,,Vergleichsfilter,,Filtro de comparación,,Filtro confronto,,Samanburðarsía,,Jämförelsefilter,
Comparison group,,FALSE,TRUE,FALSE,PayAnalytics,Comparison group,,Groupe de comparaison,,Vergleichsgruppe,,Grupo de comparación,,Gruppo di confronto,,Samanburðarhópur,,Jämförelsegrupp,
Comparison group definition,,FALSE,TRUE,FALSE,PayAnalytics,Comparison group definition,,Définition du groupe de comparaison,,Definition der Vergleichsgruppe,,Definición del grupo de comparación,,Definizione del gruppo di confronto,,Skilgreining samanburðarhóps,,Definition av jämförelsegrupp,
Comparison group name,,FALSE,TRUE,FALSE,PayAnalytics,Comparison group name,,Nom du groupe de comparaison,,Vergleichsgruppenname,,Nombre del grupo de comparación,,Nome gruppo di confronto,,Nafn samanburðarhóps,,Namn på jämförelsegrupp,
Comparison group statistics,,FALSE,TRUE,FALSE,PayAnalytics,Comparison group statistics,,Statistiques des groupes de comparaison,,Vergleichsgruppen-Statistik,,Estadísticas del grupo de comparación,,Statistiche del gruppo di confronto,,Tölfræði samanburðarhóps,,Statistik för jämförelsegrupp,
Comparison job classes,,FALSE,TRUE,FALSE,PayAnalytics,Comparison job classes,,Classes d'emploi de comparaison,,Vergleichsjobklassen,,Tipos de puestos de trabajo de comparación,,Confronto categorie di impiego,,Starfaflokkar til samanburðar,,Jämförande yrkeskategorier,
Comparison method to use,,FALSE,TRUE,FALSE,PayAnalytics,Comparison method to use,,Méthode de comparaison à utiliser,,Zu verwendende Vergleichsmethode,,Método de comparación a utilizar,,Metodo di confronto da utilizzare,,Samanburðaraðferð til að beita,,Jämförelsemetod att använda,
Comparison overview,,FALSE,TRUE,FALSE,PayAnalytics,Comparison overview,,Aperçu de la comparaison,,Vergleichsübersicht,,Vista general de la comparación,,Panoramica confronto,,Yfirlit samanburðar,,Jämförelseöversikt,
Comparison summary,,FALSE,TRUE,FALSE,PayAnalytics,Comparison summary,,Résumé de la comparaison,,Vergleichszusammenfassung,,Resumen de la comparación,,Riepilogo confronto,,Samantekt samanburðar,,Jämförelsesammanfattning,
Comparison value point range,,FALSE,TRUE,FALSE,PayAnalytics,Comparison value point range,,Plage de points de valeur de comparaison,,Wertepunktbereich vergleichen,,Rango de puntos de valor de comparación,,Intervallo di punti di valore di confronto,,Samanburðar stigaspönn,,Jämförelsevärde punktintervall,
Comparison value points,,FALSE,TRUE,FALSE,PayAnalytics,Comparison value points,,Points de valeur de comparaison,,Vergleichswertpunkte,,Puntos de valor de comparación,,Punti di valore a confronto,,Samanburðarstig,,Jämförelse värdepunkter,
Compensation,,FALSE,TRUE,FALSE,PayAnalytics,Compensation,,Rémunération,,Gehalt,,Remuneración,,Retribuzione,,Launaþáttur,,Lön,
Compensation after increase,,FALSE,TRUE,FALSE,PayAnalytics,Compensation after increase,,Rémunération après augmentations,,Vergütung nach Gehaltserhöhung,,Remuneración después del aumento,,Retribuzione dopo aumento,,Laun eftir hækkun,,Lön efter höjning,
Compensation assistant,,FALSE,TRUE,FALSE,PayAnalytics,Compensation assistant,,Assistant de rémunération,,Gehaltsassistent,,Asistente de remuneración,,Assistente retribuzioni,,Launaráðgjafi,,Löneassistent,
Compensation benchmarking,,FALSE,TRUE,FALSE,PayAnalytics,Compensation benchmarking,,Benchmarks de rémunération,,Gehaltsvergleiche,,Estudios salariales de mercado,,Benchmark retributivo,,Markaðslaun,,Riktmärkning av löner,
Compensation ceiling,,FALSE,TRUE,FALSE,PayAnalytics,Compensation ceiling,,Rémunération maximale,,Vergütungsobergrenze,,Remuneración máxima,,Massimale retributivo,,Launaþak,,Lönetak,
Compensation component aggregates,,FALSE,TRUE,FALSE,PayAnalytics,Compensation component aggregates,,Agrégats des éléments de la rémunération,,Aggregate der Vergütungskomponente,,Agregados del componente de la remuneración,,Aggregati di componenti di retribuzione,,Samtölur launaþátta,,Sammanlagda lönekomponenter,
Compensation data configuration,,FALSE,TRUE,FALSE,PayAnalytics,Compensation data configuration,,Configuration des données de rémunération,,Konfiguration der Vergütungsdaten,,Configuración de datos de compensación,,Configurazione dei dati retributivi,,Stilling launagagna,,Konfiguration av ersättningsdata,
Compensation drivers,,FALSE,TRUE,FALSE,PayAnalytics,Compensation drivers,,Indemnisation des facteurs,,Die Gründe für die Vergütung,,Conductores de compensación,,Autisti di compensazione,,Áhrifaþættir launa,,Ersättningsförare,
Compensation floor,,FALSE,TRUE,FALSE,PayAnalytics,Compensation floor,,Rémunération minimale,,Vergütungsuntergrenze,,Remuneración mínima,,Minimo retributivo,,Launagólf,,Lönegolv,
Compensation mapping,,FALSE,TRUE,FALSE,PayAnalytics,Compensation mapping,,Mappage de la rémunération,,Gehaltszuordnung,,Mapeo de la remuneración,,Mappatura della retribuzione,,Launakortlagning,,Kartläggning av löner,
Compensation range,,FALSE,TRUE,FALSE,PayAnalytics,Compensation range,,Plage de rémunération,,Vergütungsbereich,,Rango de remuneración,,Intervallo di retribuzione,,Launaspönn,,Lönespann,
Compensation statistics (Choose at least one),,FALSE,TRUE,FALSE,PayAnalytics,Compensation statistics (Choose at least one),,Statistiques de rémunération (choisissez-en au moins une),,Vergütungsstatistiken (mindestens eine auswählen),,Estadísticas de remuneración (elija como mínimo una),,Statistiche retributive (selezionane almeno una),,Samtölur launa (veljið a.m.k. eina),,Lönestatistik (välj minst en),
Component used in aggregate,,FALSE,TRUE,FALSE,PayAnalytics,Component used in aggregate,,Élément de rémunération utilisé dans l'agrégat,,Im Aggregat verwendete Komponente,,Componente usado en el agregado,,Componente utilizzato in aggregato,,Launaþáttur notaður í samtölu,,Komponent som används i det aggregerade systemet,
Configure reference dataset before continuing,,FALSE,TRUE,FALSE,PayAnalytics,Configure reference dataset before continuing,,Configurez Le Jeu de données de référence avant de continuer,,"Bitte Referenzdatensatz konfigurieren, bevor Sie fortfahren",,Configurar el conjunto de datos de referencia antes de continuar,,Configura il set di dati di riferimento prima di continuare,,Stillið viðmiðunargagnasett áður en haldið er áfram,,Konfigurera referensdatamängden innan du fortsätter,
Cost of compensation,,FALSE,TRUE,FALSE,PayAnalytics,Cost of compensation,,Coût de l'indemnisation,,Kosten der Entschädigung,,Coste de la compensación,,Costo del risarcimento,,,,Kostnad för ersättning,
Cost of compensation display,,FALSE,TRUE,FALSE,PayAnalytics,Cost of compensation display,,Affichage du coût de la rémunération,,Anzeige der Vergütungskosten,,Visualización del coste de la compensación,,Visualizzazione del costo della compensazione,,,,Kostnad för kompensationsvisning,
Cost of raises,,FALSE,TRUE,FALSE,PayAnalytics,Cost of raises,,Coût des augmentations,,Kosten von Gehaltserhöhungen,,Coste de los aumentos,,Costo degli aumenti,,,,Kostnad för höjningar,
Currency,,FALSE,TRUE,FALSE,PayAnalytics,Currency,,Devise,,Währung,,Divisa,,Valuta,,Gjaldmiðill,,Valuta,
Currency code,,FALSE,TRUE,FALSE,PayAnalytics,Currency code,,Code de devise,,Währungscode,,Código de divisa,,Codice valuta,,Auðkenni fyrir gengisskráningu,,Valutakod,
Currency exchange table,,FALSE,TRUE,FALSE,PayAnalytics,Currency exchange table,,Table des taux de change,,Wechselkurstabelle,,Tabla de cambio de divisa,,Tabella tassi di cambio valuta,,Tafla með gengi gjaldmiðla,,Tabell med valutakurser,
Custom brackets,,FALSE,TRUE,FALSE,PayAnalytics,Custom brackets,,Fourchettes personnalisées,,Benutzerdefinierte Klammern,,Personalizar los tramos,,Fasce personalizzate,,Sérsniðin talnabil,,Egna nivåer,
Custom factor,,FALSE,TRUE,FALSE,PayAnalytics,Custom factor,,Facteur personnalisé,,Individuell definierter Faktor,,Factor personalizado,,Fattore personalizzato,,Sérsniðnir flokkar,,Anpassad faktor,
Custom sub-factor,,FALSE,TRUE,FALSE,PayAnalytics,Custom sub-factor,,Facteur personnalisé,,Individuell definierter Faktor,,Factor personalizado,,Sotto-fattore personalizzato,,Sérsniðnir matsþættir,,Anpassad delfaktor,
